author,body,datalegacylang,clean_text
cryttyr,@Rojava0366 @realMaalouf @AliserDersimi Lies. #BanIslam,en,lies.
scottglock,@liz_churchill10 In Islam the Infidel is seen as a target. Infidel women are to be raped and held as sex slaves. #BanIslam,en,in islam the infidel is seen as a target. infidel women are to be raped and held as sex slaves.
CIRCA2025,@StateDept @realDonaldTrump is fighting terrorist abroad when #America has been I vaded by them!! #Banislam it's not a religion but a evil organization that rapes young girls by forced marriage at 9 years old. Beats women etc etc,en,is fighting terrorist abroad when america has been i vaded by them!! it's not a religion but a evil organization that rapes young girls by forced marriage at 9 years old. beats women etc etc
SilverFoxInOz,#BanIslam BanferalBlacks https://t.co/f0YXtd1jsc,en,banferalblacks
JohnnyBgood2025,"#BanIslam, it is a rape cult.",en,", it is a rape cult."
cryttyr,They're the same everywhere they go. Believe them when they rape kids. #BanIslam,en,they're the same everywhere they go. believe them when they rape kids.
RobDoubleGooner,@DavidVance @GoodwinSuzy Sickening.\n\n#IslamIsTheProblem\n#BanIslam,en,sickening.
SuziBKota,"@DefiyantlyFree @LarryTaunton Islam is Epstein Island every day, across 56 countries. #BanIslam",en,"islam is epstein island every day, across 56 countries."
ArtmisIII,I envision a day when Islam is accorded the same legal status as murder and rape under state law. Whether I live to see it is irrelevant; what matters is that it will come.\n#BanIslam\n#IslamIsTerroristCult,en,i envision a day when islam is accorded the same legal status as murder and rape under state law. whether i live to see it is irrelevant; what matters is that it will come. islamisterroristcult
EHz365,This is the kind of heinous monsters Islam produces. May the Lord come to the aid of Nigerian Christians. God Forbid the USA ever fall under the control of Islam. #BanIslam #BanShariaLaw,en,this is the kind of heinous monsters islam produces. may the lord come to the aid of nigerian christians. god forbid the usa ever fall under the control of islam. bansharialaw
BernardCastle85,@Afghan609 It might be too late but we owe it to our ancestors and to our children to at least try :- #BanIslam https://t.co/WbVyhjyHOH,en,it might be too late but we owe it to our ancestors and to our children to at least try :-
HoosierAmerica,#banislam before its too late,en,before its too late
CivitasNostra,"@golbarg_teh European cities are clean, it is from muslim shi###oles pakistan! \n\n#banislam",en,"european cities are clean, it is from muslim shi##oles pakistan!"
GarethDavies007,Visiting Maldon Essex today and good news\n\nAt long last the council have taken action against The Raj “Indian” Restaurant (usually owned/run by Pakistanis or Bangladeshis)\n\n#BanIslam https://t.co/mE0naXPVe7,en,visiting maldon essex today and good news at long last the council have taken action against the raj indian restaurant (usually owned/run by pakistanis or bangladeshis)
cryttyr,Prayer scar on forehead. He is most superior in Brown Supremacist Intersectionality. #BanIslam,en,prayer scar on forehead. he is most superior in brown supremacist intersectionality.
cryttyr,"@realMaalouf They don't love Islam, they hate Western Civilisation just as much as Muslims do. #BanIslam",en,"they don't love islam, they hate western civilisation just as much as muslims do."
cryttyr,Muslim man just doing Muslim men things. #BanIslam,en,muslim man just doing muslim men things.
cryttyr,@HumzaYousaf Innumerable child rape gangs: silence. \nOne single victim: WE MUST STOP THIS SCOURGE. \nMe: #BanIslam,en,innumerable child rape gangs: silence. one single victim: we must stop this scourge. me:
cryttyr,"@jelinaangelll Oh boy. Not good at the situational awareness, are you? They hate you. The men AND the women. At some point, even the slowest amongst us will come to understand Brown Supremacy, and at the top of that garbage hierarchy sits the Muslim man and his four wives. #BanIslam https://t.co/AuBtuHl70H",en,"oh boy. not good at the situational awareness, are you? they hate you. the men and the women. at some point, even the slowest amongst us will come to understand brown supremacy, and at the top of that garbage hierarchy sits the muslim man and his four wives."
cryttyr,"Not your personal army. Everywhere is Islamic now, so travel with your male family members and join the case to #BanIslam",en,"not your personal army. everywhere is islamic now, so travel with your male family members and join the case to"
SilverFoxInOz,"If you say certain things, you annoy just the right people. #BanIslam https://t.co/HPBn270mtA",en,"if you say certain things, you annoy just the right people."
DDinklevoss,@YossiBenYakar Omg I might have to go to Greece now when it’s cancer-free! #BanIslam,en,omg i might have to go to greece now when its cancer-free!
DoIt1745,@RAM_789X @VividProwess What utter nonsense. Don't defame Shaivism and Hindustanis. The kaaba is the abode of Satan and the mohammedaners are his demon-possessed followers. #BanIslam 🚫,en,what utter nonsense. don't defame shaivism and hindustanis. the kaaba is the abode of satan and the mohammedaners are his demon-possessed followers.
679rex81055,@ChibiReviews Mass deport all Islam swine now #StopMulticulturalism #MassDeportationsNow #banislam #banmuslim #bankurdis #banmosque #saveShinto #saveBuddhist #savejapan #protectjapan #banjews https://t.co/I5NhpUvXAF,en,mass deport all islam swine now stopmulticulturalism banmuslim bankurdis banmosque saveshinto savebuddhist savejapan protectjapan banjews
bluedreambeast,@ICEgov Death penalty. No trial. #BanIslam #BanImmigration,en,death penalty. no trial. banimmigration
FullMtlPatriot,Islam is a totalitarian system of oppression that cannot coexist with western civilization. #BanIslam,en,islam is a totalitarian system of oppression that cannot coexist with western civilization.
FullMtlPatriot,"Import the Third World, become the Third World. #BanIslam #DeportThemALL",en,"import the third world, become the third world."
FullMtlPatriot,The Islamic invasion of our country is real. #BanIslam,en,the islamic invasion of our country is real.
jmavankal,@EYakoby @esw_real 😢. RIP Amir Ali Mirjafari. The Persians are suffering! The mullah regime needs to be crushed. And Islam THROWN out of Persia!\n\n#IslamIsTheProblem\n#BanIslam,en,. rip amir ali mirjafari. the persians are suffering! the mullah regime needs to be crushed. and islam thrown out of persia!
HoosierAmerica,Pay attention 👏🏽 #banislam,en,pay attention
LycanTherian,"@zundamotisuki Absolutely.\nThey dont do this in their country, only forgein countries.\nWhy?\nTo show their religious dominance of you!\n#BanIslam",en,"absolutely. they dont do this in their country, only forgein countries. why? to show their religious dominance of you!"
cryttyr,Toss this weird mediaeval garbage into the bin. It's not our civilisation. #BanIslam,en,toss this weird mediaeval garbage into the bin. it's not our civilisation.
BertfromEng,@ahsanforbritain @MartinDaubney @GBNEWS Leave our country and take your peado cult with you #banislam,en,leave our country and take your peado cult with you
BertfromEng,@saimatee121 @SkyNews I don't care if you were born here. We don't want you or the rest of your stinking peado cult in our country. #banislam,en,i don't care if you were born here. we don't want you or the rest of your stinking peado cult in our country.
Threat2Dmocracy,"@WHLeavitt @SouthTower1776 Way past time. Ban Islam and deport them all. It's NOT A RELIGION! It's a barbaric, terrorist ideology and they have made it clear, by their chanting and yelling as well as historical evidence proves, they have zero interest in assimilating into western culture. #BanIslam",en,"way past time. ban islam and deport them all. it's not a religion! it's a barbaric, terrorist ideology and they have made it clear, by their chanting and yelling as well as historical evidence proves, they have zero interest in assimilating into western culture."
cryttyr,Growing problems everywhere. The first is that it's a made up thing. It's sky faeries. It's sky faeries that produce the most abhorrent violence on the planet. We are on a path to #BanIslam. Islam is the business case to #BanIslam.,en,growing problems everywhere. the first is that it's a made up thing. it's sky faeries. it's sky faeries that produce the most abhorrent violence on the planet. we are on a path to . islam is the business case to .
cryttyr,@NiohBerg After three generations of cousin marriage they are genetically equivalent to half-siblings. These men are quite literally impregnating their sisters. #BanIslam,en,after three generations of cousin marriage they are genetically equivalent to half-siblings. these men are quite literally impregnating their sisters.
cryttyr,"Believe them when they arson attack, stab you, tell you. Start believing them is the start of the business case to #BanIslam",en,"believe them when they arson attack, stab you, tell you. start believing them is the start of the business case to"
aderatron,Why are Americans allowing their kids to be traumatized by the evil of Islam? #BanIslam and save the children. #Islam is Christianophobic. #IslamIsEvil #JesusIsLord,en,why are americans allowing their kids to be traumatized by the evil of islam? and save the children. islam is christianophobic. islamisevil jesusislord
graham0324,"All too true.  No muslim radical or not should not be allowed in our society, taqiyya is their strategy to lie and deceive us.  We can't trust one of them, not a word out of their mouth. \n\n#banislam #nomoremuslims #deportmuslims",en,"all too true. no muslim radical or not should not be allowed in our society, taqiyya is their strategy to lie and deceive us. we can't trust one of them, not a word out of their mouth. nomoremuslims deportmuslims"
